id,x,y
1,-7.13153,2.7332
1,-7.14258,2.73593
1,-7.16172,2.74155
1,-7.1732,2.74391
1,-7.19562,2.74841
1,-7.20699,2.75064
1,-7.21694,2.75244
1,-7.25243,2.75715
1,-7.278,2.76398
1,-7.29789,2.76966
1,-7.31047,2.7734
1,-7.32277,2.7751
1,-7.33029,2.77509
2,-6.79984,2.30882
2,-6.80034,2.32919
2,-6.80127,2.35189
2,-6.80224,2.38592
2,-6.80253,2.40247
2,-6.80339,2.44093
2,-6.8038,2.44934
2,-6.80572,2.51255
2,-6.80624,2.52073
2,-6.80711,2.53549
2,-6.80718,2.53705
2,-6.807,2.5373
2,-6.80732,2.53768
2,-6.80871,2.54089
2,-6.83489,2.54619
2,-6.84052,2.546
2,-6.84172,2.547
2,-6.8468,2.54814
2,-6.86189,2.5509
2,-6.88057,2.55466
2,-6.91903,2.56056
2,-6.93803,2.56416
2,-6.94824,2.56637
2,-6.94951,2.5665
2,-6.95266,2.567
2,-6.95484,2.57725
2,-6.95273,2.58864
2,-6.93687,2.60723
2,-6.926,2.62171
2,-6.93122,2.64076
2,-6.94797,2.65347
2,-6.95949,2.66076
2,-6.97236,2.67013
2,-6.97811,2.68064
2,-6.97239,2.70239
2,-6.97244,2.70994
2,-6.98154,2.7236
2,-6.98013,2.72791
2,-6.9776,2.73297
2,-7.02029,2.74562
2,-7.02611,2.74605
2,-7.03654,2.73854
2,-7.049,2.73178
2,-7.05828,2.73037
2,-7.07407,2.73083
2,-7.09099,2.73159
2,-7.11224,2.73174
2,-7.12319,2.73308
2,-7.13448,2.73469
2,-7.15759,2.74164
2,-7.1794,2.74652
2,-7.19705,2.74972
2,-7.21418,2.75206
2,-7.23784,2.75514
2,-7.25269,2.75698
2,-7.28562,2.76532
2,-7.29162,2.76721
2,-7.29251,2.76769
2,-7.30302,2.77125
2,-7.3059,2.77277
2,-7.31134,2.77423
2,-7.31924,2.77532
2,-7.32291,2.77553
2,-7.32417,2.77589
2,-7.3303,2.77589
3,-6.8005,2.3092
3,-6.80083,2.32603
3,-6.80198,2.36152
3,-6.80225,2.37227
3,-6.80342,2.41257
3,-6.80439,2.447
3,-6.80457,2.4538
3,-6.80488,2.46074
3,-6.80625,2.50997
3,-6.80692,2.52401
3,-6.80748,2.53492
3,-6.80739,2.53814
3,-6.80917,2.54101
3,-6.84614,2.54821
3,-6.86398,2.5518
3,-6.87703,2.55414
3,-6.92194,2.56112
3,-6.95035,2.56685
3,-6.95414,2.58701
3,-6.93701,2.60734
3,-6.92507,2.62345
3,-6.93002,2.64009
3,-6.95873,2.65981
3,-6.97424,2.67186
3,-6.97867,2.68282
3,-6.97334,2.70074
3,-6.97783,2.72055
3,-6.97865,2.72893
3,-6.97671,2.73387
3,-6.98121,2.73749
3,-7.00144,2.7424
3,-7.01878,2.74629
3,-7.02564,2.74626
3,-7.03647,2.73835
3,-7.04312,2.73335
3,-7.05825,2.73032
3,-7.08751,2.72989
3,-7.1129,2.72934
3,-7.12968,2.73111
3,-7.15811,2.74004
3,-7.166,2.74244
3,-7.20235,2.74961
3,-7.21551,2.75209
3,-7.25275,2.75759
3,-7.26172,2.75933
3,-7.27348,2.76285
3,-7.30373,2.77208
3,-7.30432,2.77226
3,-7.31105,2.77401
3,-7.32604,2.77515
3,-7.32796,2.77507
3,-7.33068,2.77488
4,-6.80016,2.30663
4,-6.80081,2.33743
4,-6.80129,2.35451
4,-6.80154,2.36808
4,-6.80157,2.36879
4,-6.80289,2.39299
4,-6.80384,2.42661
4,-6.80422,2.44606
4,-6.80435,2.44932
4,-6.80446,2.45341
4,-6.80467,2.46082
4,-6.80498,2.47495
4,-6.80558,2.49091
4,-6.80594,2.50549
4,-6.80668,2.51684
4,-6.80704,2.51888
4,-6.80738,2.52435
4,-6.80749,2.52557
4,-6.80733,2.52555
4,-6.80744,2.53126
4,-6.80754,2.53192
4,-6.80765,2.53197
4,-6.80764,2.53738
4,-6.80737,2.53729
4,-6.80759,2.5378
4,-6.81035,2.54083
4,-6.81846,2.54254
4,-6.8235,2.54313
4,-6.83312,2.54479
4,-6.84017,2.54639
4,-6.84427,2.54771
4,-6.85116,2.54924
4,-6.85363,2.54931
4,-6.86007,2.55059
4,-6.86575,2.55162
4,-6.86888,2.55238
4,-6.89069,2.55603
4,-6.89639,2.55679
4,-6.89757,2.55691
4,-6.90106,2.55764
4,-6.92131,2.56049
4,-6.93157,2.56236
4,-6.94036,2.56419
4,-6.95439,2.56715
4,-6.9542,2.58173
4,-6.95278,2.58926
4,-6.93412,2.609
4,-6.9276,2.61738
4,-6.92507,2.62556
4,-6.92896,2.63851
4,-6.94535,2.65181
4,-6.96618,2.66496
4,-6.97329,2.67117
4,-6.97885,2.68387
4,-6.97307,2.6979
4,-6.97115,2.70518
4,-6.97223,2.71139
4,-6.97446,2.71564
4,-6.97814,2.72064
4,-6.98077,2.72459
